"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-4.137499782E-4,-2.239193573E0,2.960094452E0,9.474547577E0,1.017561786E1
9.644250007E-3,-2.225871277E0,2.775827637E0,9.604178009E0,1.024206802E1
1.970125001E-2,-1.962868195E0,2.372266846E0,1.013557297E1,1.059293826E1
2.975925000E-2,-1.604663086E0,1.911225586E0,1.074854828E1,1.103444684E1
3.981625001E-2,-1.359173584E0,1.597028961E0,1.120854172E1,1.140303739E1
4.987425002E-2,-1.267863464E0,1.467847595E0,1.138382721E1,1.154788190E1
5.993125000E-2,-1.122216339E0,1.456321564E0,1.144295425E1,1.158971286E1
6.998925001E-2,-9.373507690E-1,1.626817017E0,1.136736145E1,1.152137433E1
8.004725000E-2,-9.883946228E-1,1.901046753E0,1.077713882E1,1.098806734E1
9.010425000E-2,-1.103954315E0,2.095941467E0,9.976004791E0,1.025340711E1
1.001622500E-1,-1.153351593E0,2.108665009E0,9.163644104E0,9.473598117E0
1.102192500E-1,-1.231788483E0,2.085313568E0,8.599467316E0,8.934017778E0
1.202772500E-1,-1.421893158E0,2.002685394E0,8.412057037E0,8.763288911E0
1.303342500E-1,-1.495989075E0,1.861528931E0,8.482710114E0,8.812470944E0
1.403922500E-1,-1.453028412E0,1.582808533E0,8.541837158E0,8.807925775E0
1.504502500E-1,-1.362616425E0,1.367256775E0,8.782835999E0,8.992459218E0
1.605072500E-1,-1.279539185E0,1.370250549E0,9.219178619E0,9.407872316E0
1.705652500E-1,-9.846524048E-1,1.395248566E0,9.892179108E0,1.003849921E1
1.806222500E-1,-6.066883850E-1,1.333576813E0,1.027164001E1,1.037560054E1
1.906802500E-1,-4.046086121E-1,1.303788757E0,1.010204269E1,1.019386285E1
2.007372500E-1,-3.339555359E-1,1.321601715E0,9.751172333E0,9.845990009E0
2.107952500E-1,-2.195933533E-1,1.327738953E0,9.216633911E0,9.314368074E0
2.208522500E-1,-1.085243225E-1,1.377136230E0,8.611442413E0,8.721537833E0
2.309102500E-1,-7.334747314E-3,1.487307129E0,8.029901733E0,8.166483830E0
2.409682500E-1,-5.209167480E-2,1.579216003E0,7.546856232E0,7.710491276E0
2.510252500E-1,-3.112028503E-1,1.739083557E0,7.277117157E0,7.488504053E0
2.610832500E-1,-6.849755859E-1,1.695823517E0,7.175328827E0,7.404752037E0
2.711402500E-1,-7.472460938E-1,1.577719116E0,7.264992371E0,7.471792856E0
2.811982500E-1,-5.776487732E-1,1.429377594E0,7.693700867E0,7.846644597E0
2.912552500E-1,-3.442840576E-1,1.347497864E0,8.514743500E0,8.627580128E0
