"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.072916582E-4,-1.796713715E0,3.355122986E0,7.883506165E0,8.754124735E0
1.089229167E-2,-1.736239471E0,3.219355316E0,8.025710449E0,8.819909544E0
2.087729167E-2,-1.603615265E0,3.194506989E0,8.274942169E0,9.013940577E0
3.086229166E-2,-1.290316772E0,3.281176758E0,8.763376465E0,9.446047076E0
4.084729166E-2,-9.692344666E-1,3.448678436E0,9.895023193E0,1.052351094E1
5.083129166E-2,-7.351213074E-1,3.364403687E0,1.079270645E1,1.132881848E1
6.081629166E-2,-6.194119263E-1,3.153941345E0,1.090691895E1,1.137065952E1
7.080129166E-2,-5.965095520E-1,3.106190643E0,1.034064651E1,1.081356622E1
8.078629167E-2,-7.668553162E-1,3.147504730E0,9.855355682E0,1.037414520E1
9.077129167E-2,-8.514294434E-1,3.274590454E0,9.197623444E0,9.800211822E0
1.007552917E-1,-9.934840393E-1,3.495081940E0,8.747958527E0,9.472559669E0
1.107402917E-1,-9.894424438E-1,3.669768677E0,8.491392059E0,9.303221893E0
1.207252917E-1,-9.309141541E-1,3.771107941E0,8.462651825E0,9.311516105E0
1.307102917E-1,-8.346643066E-1,3.778742065E0,8.572373657E0,9.405378579E0
1.406952917E-1,-7.303312683E-1,3.706143036E0,8.728349304E0,9.510676187E0
1.506792917E-1,-6.879693604E-1,3.603157196E0,8.961714020E0,9.683406518E0
1.606642917E-1,-6.325845337E-1,3.481759644E0,9.191935272E0,9.849593263E0
1.706492917E-1,-5.887257385E-1,3.343896332E0,9.379944305E0,9.975549902E0
1.806342917E-1,-6.864724731E-1,3.237168274E0,9.552834778E0,1.010975545E1
1.906192917E-1,-9.418414307E-1,3.091521149E0,9.584568787E0,1.011476777E1
2.006032917E-1,-1.046922913E0,3.030298462E0,9.192534027E0,9.735575905E0
2.105882917E-1,-1.174906769E0,3.048410797E0,8.923244019E0,9.502499572E0
2.205732917E-1,-1.055754547E0,3.035387878E0,8.744216309E0,9.316089098E0
2.305582917E-1,-8.029302979E-1,3.045117645E0,8.623118134E0,9.180174556E0
2.405432917E-1,-7.494914246E-1,3.060385895E0,8.663384399E0,9.218564339E0
2.505272917E-1,-6.414161682E-1,3.024161224E0,8.762478333E0,9.291823951E0
2.605122917E-1,-4.700225830E-1,2.944377136E0,8.904981995E0,9.390898907E0
2.704972917E-1,-2.978805542E-1,2.875819702E0,9.194030914E0,9.637908292E0
2.804822917E-1,-2.014810181E-1,2.808310089E0,9.476942596E0,9.886336082E0
2.904672917E-1,-1.570234680E-1,2.731370087E0,9.577982483E0,9.961063566E0
3.004522917E-1,-1.829196167E-1,2.650987244E0,9.546697540E0,9.909622943E0
3.104362917E-1,-1.998344421E-1,2.597997437E0,9.404792633E0,9.759080333E0
3.204212917E-1,-2.151026917E-1,2.619851990E0,9.307494965E0,9.671574646E0
3.304062917E-1,-1.350192261E-1,2.678230591E0,9.360634460E0,9.737177558E0
