"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.476874998E-3,-5.816454620E0,4.220772858E0,6.043083344E0,9.389617892E0
1.554387500E-2,-5.802383881E0,4.249064026E0,6.079757080E0,9.417305875E0
2.560987500E-2,-5.910908203E0,4.287983093E0,6.195616150E0,9.576601395E0
3.567587500E-2,-6.028413849E0,4.304448853E0,6.383475494E0,9.778487247E0
4.574287499E-2,-5.945037231E0,4.177662506E0,6.671925659E0,9.864629932E0
5.580887500E-2,-5.615871735E0,4.001329193E0,7.044800262E0,9.857883210E0
6.587587500E-2,-5.241949310E0,3.878883820E0,7.422764282E0,9.880344217E0
7.594187499E-2,-4.847220154E0,3.835923157E0,7.773035889E0,9.931260575E0
8.600787500E-2,-4.461023254E0,3.791315918E0,8.107889557E0,1.000063388E1
9.607487500E-2,-4.229604492E0,3.771557007E0,8.429271240E0,1.015710638E1
1.061408750E-1,-4.330045624E0,3.816463623E0,8.620124359E0,1.037406544E1
1.162078750E-1,-4.718038788E0,3.837569733E0,8.615334320E0,1.054565393E1
1.262738750E-1,-5.079986115E0,3.760330353E0,8.615484009E0,1.068517234E1
1.363408750E-1,-5.131479034E0,3.635939026E0,8.643026733E0,1.068896818E1
1.464068750E-1,-5.004542999E0,3.548820190E0,8.543932800E0,1.051847722E1
1.564728750E-1,-4.771477661E0,3.582500153E0,8.275690613E0,1.020237039E1
1.665398750E-1,-4.625082092E0,3.741319885E0,7.938741302E0,9.920306059E0
1.766058750E-1,-4.402944031E0,3.825145569E0,7.694898376E0,9.655522554E0
1.866728750E-1,-4.182153168E0,3.871549072E0,7.569309540E0,9.474900751E0
1.967388750E-1,-4.023483124E0,3.859873352E0,7.475754089E0,9.325981876E0
2.068058750E-1,-3.673361206E0,3.662882996E0,7.542365570E0,9.154101419E0
2.168718750E-1,-3.541186066E0,3.718417511E0,7.671846313E0,9.231676630E0
2.269378750E-1,-3.415447540E0,3.741918640E0,8.295898590E0,9.720554019E0
2.370048750E-1,-3.419339447E0,3.741918640E0,9.094188538E0,1.041144094E1
2.470708750E-1,-3.268902283E0,3.788172455E0,9.485325165E0,1.072414874E1
2.571378750E-1,-3.132984924E0,3.758983154E0,9.700128479E0,1.086453135E1
2.672038750E-1,-3.198548584E0,3.850592651E0,9.745484161E0,1.095592252E1
2.772698750E-1,-3.307521973E0,3.789669342E0,9.656119995E0,1.088769712E1
2.873368750E-1,-3.239413605E0,3.481011200E0,9.317973175E0,1.046115976E1
