"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.201458334E-3,-3.937262421E0,4.061504059E0,7.103627930E0,9.080714749E0
1.326745833E-2,-3.865411835E0,4.052822113E0,7.286248169E0,9.190004794E0
2.333445833E-2,-3.608246613E0,4.056564331E0,7.704927521E0,9.425553877E0
3.340045833E-2,-3.308869171E0,4.070036316E0,8.181386719E0,9.718482363E0
4.346745833E-2,-3.098107452E0,4.100273438E0,8.692573700E0,1.009808643E1
5.353345833E-2,-2.769690399E0,4.122277679E0,9.066047058E0,1.033719340E1
6.360045833E-2,-2.429447937E0,4.123774567E0,9.284891968E0,1.044590603E1
7.366645833E-2,-2.244732056E0,4.122577057E0,9.445957031E0,1.054801251E1
8.373345833E-2,-2.191442871E0,4.123325500E0,9.386979675E0,1.048425593E1
9.379945833E-2,-2.166145477E0,4.070485382E0,9.139843597E0,1.023707861E1
1.038664583E-1,-2.142344971E0,4.022734680E0,8.785680084E0,9.897485076E0
1.139324583E-1,-2.211052094E0,4.034260712E0,8.495134277E0,9.660813487E0
1.239994583E-1,-2.267035675E0,4.016597443E0,8.249046021E0,9.450887049E0
1.340654583E-1,-2.252665558E0,4.002377014E0,8.111182709E0,9.321202112E0
1.441324583E-1,-2.124082947E0,4.008663940E0,8.039182434E0,9.230902944E0
1.541984583E-1,-1.994302826E0,4.023483124E0,8.086783447E0,9.249958202E0
1.642654583E-1,-1.821262665E0,4.022584991E0,8.274044037E0,9.378592241E0
1.743314583E-1,-1.630708923E0,3.955674133E0,8.462202759E0,9.482375492E0
1.843984583E-1,-1.435963898E0,3.895349579E0,8.600814514E0,9.550379624E0
1.944644583E-1,-1.341061249E0,3.883673859E0,8.704848175E0,9.625785665E0
2.045314583E-1,-1.378932495E0,3.831432495E0,8.731492767E0,9.634329024E0
2.145974583E-1,-1.542242889E0,3.751947784E0,8.697962494E0,9.597404694E0
2.246644583E-1,-1.739981689E0,3.708687744E0,8.622369690E0,9.546054689E0
2.347304583E-1,-1.961670685E0,3.697012024E0,8.505013733E0,9.478993004E0
2.447974583E-1,-2.118245087E0,3.630101166E0,8.441695404E0,9.430101697E0
2.548634583E-1,-2.211650848E0,3.546125793E0,8.341403961E0,9.329813914E0
2.649304583E-1,-2.266436920E0,3.470682678E0,8.207282867E0,9.194665118E0
2.749964583E-1,-2.216889954E0,3.434607697E0,8.095914459E0,9.069452135E0
2.850634583E-1,-1.877246246E0,3.544030151E0,8.061935120E0,9.004387878E0
2.951294583E-1,-1.424587555E0,3.685485992E0,8.105793915E0,9.017546878E0
3.051964583E-1,-9.421408081E-1,3.667972412E0,8.146958313E0,8.984129378E0
3.152624583E-1,-9.068142700E-1,3.710633698E0,8.477620697E0,9.298449722E0
3.253294583E-1,-7.610174561E-1,3.817661133E0,8.713979187E0,9.543957112E0
3.353954583E-1,-5.840853882E-1,3.879482574E0,8.751850433E0,9.590955468E0
3.454624583E-1,-7.132667542E-1,3.803291016E0,8.885971527E0,9.691968943E0
3.555284583E-1,-8.662486267E-1,3.687581635E0,8.917256470E0,9.688452299E0
3.655954583E-1,-1.150956573E0,3.671115875E0,8.899742889E0,9.695731860E0
3.756614583E-1,-1.402433624E0,3.699556732E0,8.912167053E0,9.750910812E0
3.857283333E-1,-1.545386353E0,3.624412994E0,8.872200165E0,9.707755884E0
3.957943333E-1,-1.481319580E0,3.583547974E0,8.733738098E0,9.555851869E0
4.058613333E-1,-1.350042572E0,3.578308868E0,8.745862885E0,9.545523920E0
4.159273333E-1,-1.079405365E0,3.536246338E0,8.769064636E0,9.516651128E0
4.259943333E-1,-9.256750488E-1,3.554957428E0,8.730594635E0,9.471952243E0
4.360603333E-1,-8.137078857E-1,3.550017700E0,8.659342804E0,9.394091973E0
4.461273333E-1,-7.339237976E-1,3.578757935E0,8.606802063E0,9.350037125E0
4.561933333E-1,-7.417076111E-1,3.618425446E0,8.580905914E0,9.342113208E0
4.662603333E-1,-8.214916992E-1,3.627556458E0,8.504115601E0,9.281917723E0
4.763263333E-1,-9.583071899E-1,3.625460815E0,8.425079956E0,9.221946164E0
4.863933333E-1,-1.142424316E0,3.622017975E0,8.361911316E0,9.183991963E0
4.964593333E-1,-1.267115021E0,3.567381592E0,8.244255981E0,9.071909864E0
5.065263333E-1,-1.276844788E0,3.481460266E0,8.110134888E0,8.917689504E0
5.165923333E-1,-1.049018555E0,3.322191467E0,8.029302979E0,8.752548337E0
5.266593333E-1,-7.559280396E-1,3.034340057E0,7.873327332E0,8.471595485E0
5.367253333E-1,-5.769003296E-1,2.641407166E0,7.617209930E0,8.082804769E0
5.467923333E-1,-4.315525818E-1,2.513123932E0,7.378755798E0,7.806924277E0
5.568583333E-1,-7.469467163E-2,2.507435760E0,7.147935791E0,7.575341541E0
5.669253333E-1,3.888912964E-1,2.539469147E0,6.950047302E0,7.409675937E0
5.769913333E-1,6.209088135E-1,2.549049225E0,7.037016449E0,7.510178441E0
5.870583333E-1,6.204597473E-1,2.487976227E0,7.239245911E0,7.679952953E0
5.971243333E-1,4.773573303E-1,2.305505676E0,7.418872375E0,7.783501382E0
6.071913333E-1,3.948788452E-1,2.071542206E0,7.469317474E0,7.761309164E0
6.172573333E-1,5.607339478E-1,1.814376984E0,7.330556030E0,7.572545022E0
6.273243333E-1,9.868977356E-1,1.498982849E0,6.996450806E0,7.222966191E0
6.373903333E-1,1.316063232E0,1.282832336E0,6.678511963E0,6.926774377E0
6.474573333E-1,1.655257874E0,1.066532135E0,6.411467285E0,6.707032292E0
6.575233333E-1,2.343526611E0,1.160237274E0,6.306834869E0,6.827476370E0
6.675903333E-1,2.573149109E0,1.333277435E0,6.569239197E0,7.180085562E0
6.776563333E-1,3.254232788E0,1.204245758E0,6.734046478E0,7.575461759E0
6.877233333E-1,3.189417572E0,1.062640228E0,7.415579224E0,8.142014734E0
6.977893333E-1,3.171454926E0,9.912387085E-1,8.047115936E0,8.706133207E0
7.078563333E-1,3.099604340E0,8.222401428E-1,8.468339996E0,9.055186812E0
7.179223333E-1,3.012036438E0,7.089257812E-1,8.653504944E0,9.190108110E0
7.279893333E-1,3.033741302E0,6.056405640E-1,8.596024475E0,9.135755227E0
7.380553333E-1,3.279081116E0,5.182223511E-1,8.565038910E0,9.185903271E0
7.481223333E-1,3.493435364E0,4.290078735E-1,8.627908173E0,9.318204646E0
7.581883333E-1,3.773502960E0,3.781137085E-1,8.751850433E0,9.538195876E0
