"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.483583329E-3,-6.131100311E0,3.729943542E0,6.342311096E0,9.577462080E0
1.755058333E-2,-6.330635376E0,3.605552216E0,6.331533508E0,9.652215684E0
2.761658333E-2,-6.475234680E0,3.434458008E0,6.459217987E0,9.769629623E0
3.768358333E-2,-6.559060364E0,3.210673370E0,6.889872437E0,1.003992224E1
4.775058333E-2,-6.468798065E0,3.185226288E0,7.466922455E0,1.038007446E1
5.781758333E-2,-5.743406525E0,3.378025360E0,8.034392395E0,1.043787502E1
6.788458333E-2,-4.641547852E0,3.830085297E0,8.681646423E0,1.056335669E1
7.795158333E-2,-3.798351288E0,4.294419708E0,9.240135040E0,1.087426359E1
8.801858333E-2,-3.354224854E0,3.969146118E0,9.307794342E0,1.066020548E1
9.808458333E-2,-3.575315094E0,3.521277466E0,9.051976318E0,1.034990571E1
1.081515833E-1,-4.160448303E0,3.501668243E0,8.530311127E0,1.011618597E1
1.182185833E-1,-4.071233826E0,3.812272339E0,7.808362427E0,9.595774541E0
1.282855833E-1,-3.759731598E0,3.984713745E0,7.673642578E0,9.428590337E0
1.383525833E-1,-3.761677551E0,3.666475525E0,7.668553162E0,9.295158329E0
1.484195833E-1,-3.866609344E0,3.384312286E0,7.917784882E0,9.439044173E0
1.584855833E-1,-3.759881287E0,3.257226562E0,8.097561035E0,9.503511293E0
1.685525833E-1,-3.553610229E0,3.267555084E0,7.963739319E0,9.312690580E0
1.786195833E-1,-3.201242981E0,3.169059906E0,7.607330475E0,8.840948720E0
1.886865833E-1,-2.641706543E0,3.171155548E0,7.108717346E0,8.220018448E0
1.987535833E-1,-2.345322876E0,3.227737885E0,6.640640717E0,7.747060111E0
2.088205833E-1,-2.513273621E0,3.230731659E0,6.689439240E0,7.842370093E0
2.188875833E-1,-2.684667206E0,3.031346283E0,7.097640381E0,8.171474608E0
2.289535833E-1,-2.554737396E0,2.521057434E0,7.686066742E0,8.482808244E0
2.390205833E-1,-2.009870453E0,1.940115509E0,8.235873413E0,8.696737222E0
2.490875833E-1,-9.758207703E-1,1.353934479E0,8.685089264E0,8.843988934E0
2.591545833E-1,-2.830613708E-1,9.024732971E-1,9.021140442E0,9.070587449E0
2.692215833E-1,3.487747192E-2,8.416996765E-1,9.187145233E0,9.225687634E0
2.792885833E-1,-8.547225952E-2,1.141376495E0,9.325607300E0,9.395583927E0
2.893555833E-1,-1.826202393E-1,1.462907867E0,9.186995544E0,9.304533127E0
2.994215833E-1,6.616241455E-2,1.803300018E0,8.806486816E0,8.989464860E0
3.094885833E-1,4.252656555E-1,1.982028351E0,8.509354706E0,8.747479910E0
3.195555833E-1,8.589138794E-1,1.895208893E0,8.503516846E0,8.754390244E0
3.296227083E-1,1.472338257E0,1.690434723E0,8.706195374E0,8.990171710E0
3.396897083E-1,2.204615479E0,1.460961914E0,8.759334869E0,9.149900900E0
3.497567083E-1,3.131637726E0,1.217118988E0,8.483009491E0,9.124142891E0
3.598237083E-1,3.599864044E0,1.019529877E0,8.026159515E0,8.855376834E0
3.698897083E-1,2.789748688E0,6.981481934E-1,7.832462311E0,8.343714670E0
3.799567083E-1,1.795965271E0,3.553610229E-1,8.134234772E0,8.337718395E0
3.900237083E-1,1.291065216E0,4.996609497E-1,8.375383301E0,8.489025615E0
4.000907083E-1,7.493417358E-1,1.215472412E-1,8.714727631E0,8.747729102E0
4.101577083E-1,7.719447327E-1,-4.550537109E-1,8.515491943E0,8.562509888E0
4.202247083E-1,-1.504371643E-1,-7.336244202E-1,7.883356476E0,7.918847483E0
4.302917083E-1,-3.696263580E0,3.697311401E-2,6.160888367E0,7.184725251E0
4.403577083E-1,-2.582429810E0,-9.565109253E-2,6.043382721E0,6.572713866E0
4.504247083E-1,2.151026917E-1,-9.129515076E-1,5.868097229E0,5.942584851E0
4.604917083E-1,6.029461670E-1,-8.693920898E-1,5.471871185E0,5.573218187E0
4.705587083E-1,1.482816467E0,-1.239123230E0,6.061794434E0,6.362351987E0
4.806257083E-1,2.477947083E0,-1.658251648E0,7.360793152E0,7.941743895E0
4.906927083E-1,3.699107666E0,-1.877395935E0,8.240064697E0,9.225328137E0
5.007597083E-1,4.259542236E0,-2.047142944E0,8.114326172E0,9.390249385E0
5.108257083E-1,4.220174103E0,-2.239193573E0,7.742798767E0,9.098065182E0
5.208927083E-1,3.882626038E0,-2.512525177E0,7.730075226E0,9.007864936E0
5.309597083E-1,3.521726532E0,-2.860252075E0,7.679181061E0,8.919272474E0
5.410267083E-1,3.923191681E0,-2.963836670E0,7.601941681E0,9.053467738E0
5.510937083E-1,4.677173767E0,-2.607577515E0,7.501799927E0,9.216963550E0
5.611607083E-1,5.453908539E0,-2.284698944E0,7.736661530E0,9.737602335E0
5.712267083E-1,6.353537750E0,-2.183209991E0,8.536747742E0,1.086323662E1
5.812937083E-1,6.990014191E0,-2.235601044E0,9.319470062E0,1.186215548E1
5.913607083E-1,7.090754700E0,-2.178270264E0,9.666298828E0,1.218445717E1
6.014277083E-1,7.647596741E0,-2.079625397E0,9.561516724E0,1.241906517E1
6.114947083E-1,8.912466431E0,-1.618284760E0,9.251212006E0,1.294742550E1
6.215617083E-1,1.047401917E1,-7.961943054E-1,9.012308807E0,1.384054597E1
6.316287083E-1,1.143636795E1,-1.493893433E-1,8.685987396E0,1.436172713E1
6.416947083E-1,1.158605667E1,2.409988403E-1,8.104746094E0,1.414148857E1
6.517617083E-1,1.154848480E1,3.966751099E-1,7.546706543E0,1.380136341E1
6.618287083E-1,1.183214493E1,4.689747620E-1,7.461833038E0,1.399637607E1
6.718957083E-1,1.242042160E1,6.643185425E-1,7.734865265E0,1.464705884E1
6.819627083E-1,1.309671524E1,1.013841705E0,8.037386169E0,1.539972083E1
6.920297083E-1,1.374546616E1,1.414857788E0,8.186925201E0,1.606130152E1
7.020967083E-1,1.478729965E1,2.183659058E0,8.461903381E0,1.717662385E1
7.121637083E-1,1.567225937E1,2.920726318E0,8.407117310E0,1.802304018E1
7.222297083E-1,1.606264755E1,3.363804932E0,8.218359833E0,1.835388973E1
7.322967083E-1,1.595966171E1,3.394042053E0,8.099956055E0,1.821646540E1
7.423637083E-1,1.566163147E1,3.109184418E0,8.070617065E0,1.789101975E1
7.524307083E-1,1.533022064E1,2.928659821E0,7.955057373E0,1.751786662E1
7.624977083E-1,1.504386612E1,2.945874023E0,7.555987244E0,1.709061218E1
7.725647083E-1,1.484552856E1,3.088677063E0,7.116501160E0,1.675035024E1
7.826317083E-1,1.481574051E1,3.308120728E0,6.690936127E0,1.658970934E1
7.926977083E-1,1.503713013E1,3.489244080E0,6.393504639E0,1.670829160E1
8.027647083E-1,1.510868134E1,3.532055054E0,6.354585571E0,1.676688470E1
8.128317083E-1,1.474823090E1,3.443738708E0,6.413562927E0,1.644698879E1
8.228987083E-1,1.412552582E1,3.315455475E0,6.560706940E0,1.592374328E1
8.329657083E-1,1.327065353E1,3.078947296E0,6.500532074E0,1.509460430E1
8.430327083E-1,1.227836700E1,2.760858765E0,6.314169617E0,1.408010566E1
8.530997083E-1,1.150612289E1,2.684816895E0,6.111640778E0,1.330230276E1
8.631657083E-1,1.073417816E1,2.775977325E0,5.098397827E0,1.220337213E1
8.732327083E-1,1.015188904E1,2.837948456E0,4.146826630E0,1.132744338E1
8.832997083E-1,9.442663879E0,3.076402588E0,3.353027344E0,1.048193429E1
8.933667083E-1,7.980654144E0,3.235072632E0,1.915416870E0,8.821868129E0
9.034337083E-1,7.735014954E0,2.413431244E0,6.740483093E-1,8.130771662E0
9.135007083E-1,8.622369690E0,2.058968353E0,2.866838379E0,9.316832726E0
9.235677083E-1,7.709418182E0,1.445094910E0,4.324656830E0,8.956901512E0
9.336337083E-1,6.885232086E0,9.865983582E-1,4.436773682E0,8.250136841E0
9.437007083E-1,6.314618683E0,8.408015442E-1,7.131769409E0,9.562609019E0
9.537677083E-1,4.687053223E0,2.029779053E-1,6.739884338E0,8.211924795E0
9.638347083E-1,3.081641693E0,-1.196012878E-1,2.191891937E0,3.783544668E0
9.739017083E-1,2.579436035E0,2.290237427E-1,-1.029259644E0,2.786631936E0
9.839687083E-1,4.557871857E0,6.864724731E-1,-4.739144897E-1,4.633576940E0
9.940357083E-1,7.598199463E0,1.895957336E0,2.806813202E0,8.318983691E0
1.004101708E0,9.126521301E0,3.344046021E0,6.430926819E0,1.165473529E1
1.014168708E0,6.746171265E0,3.373385010E0,7.473957825E0,1.061840848E1
1.024235708E0,3.002905426E0,1.347048798E0,4.341871033E0,5.448286476E0
1.034302708E0,2.252366180E0,-4.569996643E-1,-6.313870239E-1,2.383411773E0
1.044369708E0,3.601660309E0,4.270619202E-1,-1.787433014E0,4.043421279E0
