"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.847624987E-3,3.071911926E0,1.988464966E0,8.245902557E0,9.021393728E0
1.690462499E-2,3.041824493E0,1.884431305E0,7.961493988E0,8.728640450E0
2.696262498E-2,3.179987183E0,1.493893433E0,7.860005035E0,8.609513066E0
3.702062499E-2,3.092419281E0,1.022972717E0,7.938741302E0,8.580975682E0
4.707762500E-2,2.648442535E0,7.467970276E-1,8.229137421E0,8.677018863E0
5.713562499E-2,2.043550415E0,6.786886597E-1,8.628207550E0,8.892844434E0
6.719362500E-2,1.949845276E0,6.309379578E-1,9.301208038E0,9.524308388E0
7.725062498E-2,2.077829132E0,5.105882263E-1,9.971065063E0,1.019804946E1
8.730862499E-2,2.192640381E0,4.361929321E-1,1.011835876E1,1.036238970E1
9.736562500E-2,2.466421051E0,5.002597046E-1,1.005683670E1,1.036694058E1
1.074236250E-1,2.590063934E0,4.938230896E-1,9.743538208E0,1.009399967E1
1.174816250E-1,2.221380615E0,-2.625540161E-1,9.053173828E0,9.325418104E0
1.275386250E-1,1.771566010E0,-2.980302429E-1,8.188871155E0,8.383607752E0
1.375966250E-1,2.033221893E0,1.730401611E-1,7.875273285E0,8.135346549E0
1.476546250E-1,2.660267944E0,3.749702454E-1,8.167914734E0,8.598398649E0
1.577116250E-1,3.367547150E0,5.310955811E-1,8.528664551E0,9.184800234E0
1.677696250E-1,3.455863495E0,4.014651489E-1,8.936416626E0,9.589771054E0
1.778266250E-1,3.406915283E0,1.612147522E-1,9.681716766E0,1.026492579E1
1.878846250E-1,3.559897156E0,1.377136230E-2,1.037432648E1,1.096812232E1
1.979426250E-1,3.515589294E0,-2.540217590E-1,1.048195267E1,1.105871723E1
2.079996250E-1,3.221900024E0,-6.146218872E-1,1.040186920E1,1.090675400E1
2.180576250E-1,3.026855621E0,-7.714956665E-1,1.034558624E1,1.080685964E1
2.281156250E-1,3.223696289E0,-7.170089722E-1,1.012629227E1,1.065120250E1
2.381726250E-1,3.644620972E0,-4.992118835E-1,9.771979065E0,1.044145820E1
2.482306250E-1,4.113745422E0,-1.552272034E-1,9.188791809E0,1.006880786E1
2.582886250E-1,4.369413757E0,2.158511353E-1,8.530161438E0,9.586554253E0
2.683456250E-1,4.379592590E0,5.399272156E-1,8.027207336E0,9.160153398E0
2.784036250E-1,4.459526367E0,7.012916565E-1,7.910300446E0,9.107800972E0
2.884606250E-1,4.604574738E0,6.662644958E-1,8.231981506E0,9.455767362E0
2.985186250E-1,4.483925629E0,3.948788452E-1,8.372539215E0,9.505836694E0
3.085766250E-1,4.042942657E0,1.710942078E-1,8.520132294E0,9.432248558E0
3.186336250E-1,3.693718872E0,9.131011963E-3,9.023834839E0,9.750550635E0
3.286916250E-1,3.594624939E0,5.912704468E-2,9.618248749E0,1.026818063E1
3.387496250E-1,3.908971252E0,2.553689575E-1,9.762997742E0,1.051957197E1
3.488066250E-1,4.429289246E0,4.507127380E-1,9.517358551E0,1.050722889E1
3.588646250E-1,4.624333649E0,5.941145325E-1,9.200617218E0,1.031449422E1
3.689216250E-1,4.463717651E0,6.321354675E-1,9.019493866E0,1.008343394E1
3.789796250E-1,4.091441803E0,5.408253479E-1,8.989107056E0,9.891230143E0
3.890376250E-1,3.608845367E0,3.186872864E-1,9.254205780E0,9.938090918E0
3.990946250E-1,3.347039795E0,6.616241455E-2,9.495354309E0,1.006820770E1
4.091526250E-1,3.173849945E0,-1.507365417E-1,9.339827728E0,9.865517066E0
4.192106250E-1,3.110232239E0,-2.386038208E-1,9.258696442E0,9.770053028E0
4.292676250E-1,3.186723175E0,-1.306782532E-1,9.054820404E0,9.600106976E0
4.393256250E-1,3.313060455E0,1.088237000E-1,8.841214600E0,9.442207781E0
4.493836250E-1,3.529360657E0,3.755690002E-1,8.876092072E0,9.559416780E0
4.594406250E-1,3.826043701E0,5.456153870E-1,8.956474915E0,9.754729594E0
4.694986250E-1,4.078418884E0,5.760021973E-1,8.890013123E0,9.797837131E0
4.795556250E-1,4.166585541E0,5.146298218E-1,8.687484283E0,9.648712976E0
4.896136250E-1,3.993695068E0,3.665876770E-1,8.462352448E0,9.364581986E0
4.996716250E-1,3.722608795E0,1.965412903E-1,8.465196533E0,9.249648483E0
5.097286250E-1,3.577261047E0,1.017883301E-1,8.650960236E0,9.361958687E0
5.197866250E-1,3.519780579E0,8.382568359E-2,8.887468414E0,9.559444381E0
5.298446250E-1,3.593128052E0,1.344204712E-1,9.085805969E0,9.771412803E0
5.399016250E-1,3.754492493E0,2.109114075E-1,9.192833405E0,9.932214431E0
5.499596250E-1,3.941004639E0,2.986289978E-1,9.147926788E0,9.965202525E0
5.600166250E-1,3.985761566E0,3.412902832E-1,9.018296356E0,9.865720627E0
5.700746250E-1,3.958667908E0,3.616479492E-1,8.822952576E0,9.677103544E0
5.801326250E-1,3.820954285E0,3.052153015E-1,8.738079071E0,9.541848557E0
5.901896250E-1,3.730991364E0,2.163002014E-1,8.801547089E0,9.562129129E0
