"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.856612499E-2,-4.501888275E0,5.117557983E0,7.984995117E0,1.049840677E1
2.862512498E-2,-4.328848114E0,4.491410065E0,8.011340332E0,1.015348533E1
3.868412500E-2,-4.268822937E0,4.092339935E0,7.985593872E0,9.936790473E0
4.874312499E-2,-4.217928772E0,3.996688843E0,7.814799042E0,9.738353500E0
5.880212499E-2,-4.166884918E0,3.998185730E0,7.709867249E0,9.632781117E0
6.886012500E-2,-4.007765808E0,4.047433319E0,7.657176819E0,9.543388291E0
7.891912499E-2,-4.050277405E0,4.285737762E0,7.788902893E0,9.769304146E0
8.897812499E-2,-4.061504059E0,4.543501740E0,8.033194885E0,1.008322584E1
9.903712498E-2,-4.001478882E0,4.627327423E0,8.241411896E0,1.026376453E1
1.090961250E-1,-4.082909546E0,4.574337616E0,8.324638824E0,1.033897125E1
1.191551250E-1,-4.095633087E0,4.536765747E0,8.300988007E0,1.030838764E1
1.292141250E-1,-3.990102539E0,4.487069092E0,8.059540100E0,1.005041760E1
1.392731250E-1,-3.902534637E0,4.275259552E0,7.716004486E0,9.645949723E0
1.493311250E-1,-3.995790710E0,4.156855774E0,7.555538177E0,9.504312204E0
1.593901250E-1,-4.236340485E0,4.103716278E0,7.451654205E0,9.503379314E0
1.694491250E-1,-4.433031464E0,4.146377563E0,7.500752106E0,9.649118976E0
1.795081250E-1,-4.635859680E0,4.237687683E0,7.616311798E0,9.872051321E0
1.895671250E-1,-4.790039062E0,4.332440643E0,7.651937714E0,1.001332447E1
1.996261250E-1,-4.792284393E0,4.362228699E0,7.576793976E0,9.970097085E0
2.096851250E-1,-4.741390228E0,4.298760681E0,7.555837555E0,9.902060687E0
2.197441250E-1,-4.678520966E0,4.240232391E0,7.682923279E0,9.944618608E0
2.298031250E-1,-4.635111237E0,4.330494690E0,7.761360168E0,1.002377933E1
