"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.287291657E-3,-9.090596008E-1,5.140610046E0,8.734187164E0,1.017537648E1
1.534629165E-2,-8.491841125E-1,4.742288361E0,7.659122772E0,9.048346489E0
2.540429166E-2,-9.351054382E-1,4.367767181E0,7.091054077E0,8.380624097E0
3.546229168E-2,-1.018631744E0,4.065395966E0,7.058721313E0,8.209177886E0
4.552129167E-2,-1.156944122E0,3.807182922E0,7.309150543E0,8.322069645E0
5.557929166E-2,-1.120120697E0,3.738026733E0,7.607629852E0,8.550061181E0
6.563829168E-2,-8.394543457E-1,3.756288757E0,7.834408264E0,8.728822468E0
7.569629166E-2,-4.872367859E-1,3.824846191E0,8.128845978E0,8.996943092E0
8.575429168E-2,4.191284180E-3,3.982019348E0,8.558901672E0,9.439877833E0
9.581329167E-2,5.587879944E-1,4.061054993E0,8.929680634E0,9.825660685E0
1.058712917E-1,1.019380188E0,4.165388031E0,9.222322083E0,1.017058592E1
1.159302917E-1,1.244811401E0,4.246369629E0,9.419162750E0,1.040681687E1
1.259882917E-1,1.293759613E0,4.120182037E0,9.328451385E0,1.027957777E1
1.360462917E-1,1.370549927E0,3.805686035E0,9.266480255E0,1.011085108E1
1.461052917E-1,1.462758179E0,3.483106842E0,9.116192780E0,9.867961570E0
1.561632917E-1,1.442699890E0,3.219055939E0,8.863518219E0,9.539688639E0
1.662222917E-1,1.349443817E0,2.899021454E0,8.809031525E0,9.371465222E0
1.762802917E-1,1.157692566E0,2.693349152E0,8.843459930E0,9.316714296E0
1.863382917E-1,8.592132568E-1,2.655777283E0,8.892857208E0,9.320638912E0
1.963972917E-1,3.779640198E-1,2.698288879E0,9.059610443E0,9.460452476E0
2.064552917E-1,-4.400848389E-2,2.621648254E0,9.231303406E0,9.596454496E0
2.165142917E-1,-6.750961304E-2,2.361788635E0,9.268875275E0,9.565283684E0
2.265722917E-1,2.785707092E-1,2.047292633E0,8.809480591E0,9.048533420E0
2.366302917E-1,8.454418945E-1,1.800755310E0,8.034242706E0,8.276868221E0
2.466892917E-1,1.404978333E0,1.488055573E0,7.439679108E0,7.716028689E0
2.567472917E-1,1.551822968E0,1.084644470E0,7.716603241E0,7.945475047E0
2.668062917E-1,1.484762421E0,1.076112213E0,9.139244843E0,9.321391164E0
2.768642917E-1,1.787283325E0,1.366807709E0,1.049886749E1,1.073726053E1
2.869222917E-1,2.932851105E0,1.599423981E0,1.091111023E1,1.141105162E1
2.969812917E-1,3.544179840E0,1.630708923E0,1.061996567E1,1.131388939E1
3.070392917E-1,2.940784607E0,2.094893646E0,1.012928604E1,1.075356821E1
3.170972917E-1,3.080144806E0,2.566413116E0,9.943073273E0,1.072093627E1
3.271562917E-1,3.325185242E0,2.281256104E0,1.066786606E1,1.140457595E1
3.372142917E-1,3.606300659E0,1.869761810E0,1.095931000E1,1.168793777E1
3.472732917E-1,4.128564606E0,1.864223328E0,9.803413696E0,1.079941176E1
3.573312917E-1,3.789220276E0,2.003882904E0,8.511899414E0,9.530276419E0
3.673892917E-1,2.738704834E0,1.880689087E0,8.027806091E0,8.688104871E0
3.774482917E-1,2.226020966E0,9.602531433E-1,7.290738831E0,7.683236827E0
3.875062917E-1,2.369572449E0,-3.165916443E-1,5.942791901E0,6.405613119E0
3.975652917E-1,2.343975677E0,-1.293310547E0,4.912035370E0,5.594190346E0
4.076232917E-1,1.688339081E0,-1.788929901E0,4.718338165E0,5.321040696E0
4.176812917E-1,1.108594666E0,-1.519639893E0,5.889353027E0,6.182456358E0
4.277402917E-1,1.632505188E0,-3.017724609E-1,7.975415039E0,8.146372497E0
4.377982917E-1,1.850901031E0,6.198609924E-1,9.690997467E0,9.885620577E0
4.478572917E-1,2.142794037E0,8.268804932E-1,1.003183868E1,1.029140831E1
