"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.259750003E-3,-1.014290771E0,3.388503571E0,7.626041565E0,8.406381633E0
8.725249994E-3,-6.851252747E-1,3.540437622E0,6.494245148E0,7.428278080E0
1.871125000E-2,-7.699987793E-1,3.665128326E0,6.388714600E0,7.405520779E0
2.869625000E-2,-1.297801208E0,3.856580200E0,7.458839264E0,8.496574721E0
3.868225000E-2,-1.689386902E0,4.027524719E0,8.770112457E0,9.797441298E0
4.866725000E-2,-1.794019318E0,4.079616394E0,9.758806458E0,1.072828405E1
5.865324999E-2,-1.786534882E0,4.028871918E0,1.046668442E1,1.135671601E1
6.863825000E-2,-1.675316162E0,3.990102539E0,1.058493851E1,1.143540667E1
7.862325000E-2,-1.433419189E0,4.000880127E0,9.944869537E0,1.081490464E1
8.860925000E-2,-1.182840271E0,4.124223633E0,8.944050751E0,9.919897959E0
9.859425000E-2,-1.080004120E0,4.296665039E0,8.108937378E0,9.240270816E0
1.085802500E-1,-1.223106537E0,4.430935822E0,7.694000244E0,8.962523172E0
1.185652500E-1,-1.493743744E0,4.696184235E0,7.814050598E0,9.238225127E0
1.285512500E-1,-1.522633667E0,4.989125061E0,8.279133453E0,9.785388745E0
1.385362500E-1,-1.465003510E0,5.041965179E0,8.664282532E0,1.013101377E1
1.485222500E-1,-1.282682648E0,4.897964630E0,8.866212616E0,1.021004694E1
1.585072500E-1,-1.255888367E0,4.729115753E0,8.943152618E0,1.019420277E1
1.684932500E-1,-1.485361176E0,4.653522949E0,9.032217407E0,1.026852107E1
1.784782500E-1,-1.576222229E0,4.663103027E0,9.145531769E0,1.038603667E1
1.884632500E-1,-1.587448883E0,4.646637268E0,9.199270020E0,1.042774188E1
1.984492500E-1,-1.722767487E0,4.626429291E0,9.430090027E0,1.064417088E1
2.084342500E-1,-1.559307404E0,4.672234039E0,9.549242249E0,1.074473071E1
2.184202500E-1,-1.146765289E0,4.691543884E0,9.267827454E0,1.045075501E1
2.284052500E-1,-8.586145020E-1,4.777914276E0,8.881929932E0,1.012197426E1
2.383912500E-1,-5.950126648E-1,4.780009918E0,8.157137146E0,9.473194884E0
2.483762500E-1,-9.442364502E-1,4.504882050E0,7.445966034E0,8.753739483E0
2.583622500E-1,-1.139280853E0,4.083807678E0,7.809709625E0,8.886338416E0
2.683472500E-1,-8.113128662E-1,3.941753082E0,8.067772980E0,9.015797623E0
2.783332500E-1,-6.174659729E-1,3.901636505E0,8.453371124E0,9.330783194E0
2.883182500E-1,-8.098159790E-2,4.182901611E0,8.805888062E0,9.749199375E0
2.983032500E-1,1.021775208E0,4.495601349E0,9.134155426E0,1.023167882E1
3.082892500E-1,2.222278748E0,4.415817261E0,9.214089203E0,1.045645278E1
3.182742500E-1,2.828667755E0,4.138593750E0,9.030570831E0,1.032862668E1
3.282602500E-1,3.065325623E0,4.040547638E0,8.703650665E0,1.007351881E1
3.382452500E-1,3.046315155E0,4.186943207E0,7.769293671E0,9.336618959E0
3.482312500E-1,2.833308105E0,4.247267761E0,7.160659332E0,8.794427800E0
3.582162500E-1,2.582429810E0,4.257446594E0,6.907984772E0,8.515576835E0
3.682022500E-1,2.260149994E0,4.159849548E0,6.739135895E0,8.235810760E0
3.781872500E-1,1.490749969E0,3.552712097E0,6.319708099E0,7.401541000E0
3.881732500E-1,-1.400637360E0,2.178719330E0,5.212011566E0,5.820108890E0
3.981582500E-1,-2.320773926E0,1.337169342E0,5.997877350E0,6.568755298E0
4.081432500E-1,-1.895358582E0,1.235530701E0,6.569239197E0,6.947936664E0
4.181292500E-1,1.115779724E0,2.121388550E0,6.462960205E0,6.893120366E0
4.281142500E-1,3.141068115E0,2.661315765E0,7.584577789E0,8.629874318E0
4.381002500E-1,2.934946747E0,2.913092194E0,8.297096100E0,9.270481229E0
4.480852500E-1,1.348695374E0,3.449726257E0,8.826545105E0,9.572224869E0
4.580712500E-1,9.204359436E-1,3.059787140E0,9.138197021E0,9.680709916E0
4.680562500E-1,1.663939819E0,2.938539276E0,9.028175812E0,9.639069835E0
4.780422500E-1,2.008373566E0,2.528092804E0,9.397906952E0,9.937075660E0
4.880272500E-1,2.011217651E0,2.310894470E0,9.545050964E0,1.002463105E1
4.980132500E-1,2.169139252E0,2.368973694E0,1.020592667E1,1.069944581E1
5.079982500E-1,2.941083984E0,2.193388824E0,1.081875229E1,1.142393674E1
5.179832500E-1,3.588637390E0,1.884281616E0,1.127635071E1,1.198269255E1
5.279692500E-1,3.286715240E0,1.360820160E0,1.146765289E1,1.200672276E1
5.379542500E-1,2.755619659E0,9.443861389E-1,1.146196472E1,1.182632403E1
5.479402500E-1,2.485431519E0,8.568182373E-1,1.117336487E1,1.147848378E1
5.579252500E-1,1.917961578E0,8.696914673E-1,1.059317139E1,1.080047313E1
5.679112500E-1,1.251397705E0,8.792715454E-1,9.818532257E0,9.936935662E0
5.778962500E-1,6.578819275E-1,9.503736877E-1,8.762478333E0,8.838384768E0
5.878822500E-1,6.770420837E-1,1.271006927E0,8.322842560E0,8.446511284E0
5.978672500E-1,1.225202179E0,1.728455658E0,8.328231354E0,8.593492702E0
6.078532500E-1,2.146985321E0,1.536105652E0,8.455317078E0,8.857852642E0
6.178382500E-1,2.783012695E0,8.153544617E-1,9.539811859E0,9.970856175E0
6.278232500E-1,2.661166077E0,6.348298645E-1,1.036474640E1,1.071973795E1
6.378092500E-1,2.628084869E0,6.177653503E-1,1.057311310E1,1.091234094E1
6.477942500E-1,2.383044434E0,4.093986511E-1,1.045036835E1,1.072644893E1
6.577802500E-1,1.951940918E0,2.727328491E-1,1.004590942E1,1.023741924E1
6.677652500E-1,1.820963287E0,3.037184143E-1,9.475445709E0,9.653611944E0
6.777512500E-1,1.611548767E0,5.923182678E-1,8.752598877E0,8.919412394E0
6.877362500E-1,1.118773499E0,7.111711121E-1,8.036188660E0,8.144798749E0
6.977222500E-1,1.088237000E0,5.448669434E-1,7.053033142E0,7.157263182E0
7.077072500E-1,4.812492371E-1,3.995191956E-1,6.509513397E0,6.539493947E0
7.176932500E-1,9.430389404E-3,2.960842896E-1,6.223308563E0,6.230355071E0
7.276777917E-1,1.043330383E-1,3.640429688E-1,6.220165100E0,6.231682481E0
7.376627917E-1,2.683918762E-1,4.117936707E-1,6.604266357E0,6.622532925E0
7.476487917E-1,8.295748901E-1,4.686753845E-1,7.246430969E0,7.308803794E0
7.576337917E-1,1.196312256E0,4.679269409E-1,7.827223206E0,7.931931779E0
7.676197917E-1,1.269060974E0,3.540138245E-1,8.108188934E0,8.214534031E0
7.776047917E-1,1.238374786E0,3.171903992E-1,8.046666870E0,8.147578142E0
7.875907917E-1,9.792636108E-1,2.061213684E-1,7.816146240E0,7.879948305E0
7.975757917E-1,6.966513062E-1,7.918533325E-2,7.682773590E0,7.714700474E0
8.075617917E-1,4.637356567E-1,2.380050659E-2,7.504045258E0,7.518398264E0
8.175467917E-1,2.176473999E-1,-1.496887207E-2,7.298073578E0,7.301333605E0
8.275327917E-1,3.037184143E-1,-4.939727783E-3,7.109316101E0,7.115802464E0
8.375177917E-1,6.556365967E-1,2.655477905E-1,6.844217377E0,6.880674856E0
8.475027917E-1,2.306703186E-1,5.990542603E-1,6.484814758E0,6.516509591E0
8.574887917E-1,3.146456909E-1,6.373745728E-1,6.380481720E0,6.419952900E0
8.674737917E-1,3.755690002E-1,4.640350342E-1,6.477030945E0,6.504483872E0
8.774597917E-1,3.547622681E-2,2.255809021E-1,6.440806274E0,6.444853045E0
8.874447917E-1,3.655398560E-1,-4.580474854E-2,6.161636810E0,6.172640087E0
8.974307917E-1,3.993695068E-1,-2.013313293E-1,5.876629486E0,5.893624048E0
9.074157917E-1,3.712280273E-1,8.891510010E-2,5.923032990E0,5.935321048E0
9.174017917E-1,1.763183441E0,3.432362366E-1,6.323749695E0,6.573920989E0
9.273867917E-1,2.903661804E0,1.053808594E-1,6.787934418E0,7.383658352E0
9.373727917E-1,4.226910095E0,7.005432129E-2,7.707771606E0,8.790985138E0
9.473577917E-1,5.063819733E0,-1.722917175E-1,9.021739197E0,1.034716062E1
9.573437917E-1,7.066205750E0,-8.246351624E-1,1.113714020E1,1.321541443E1
9.673287917E-1,9.092541962E0,-1.756447449E0,1.490001526E1,1.754337145E1
9.773137917E-1,1.156210648E1,-2.893183594E0,1.977133530E1,2.308589433E1
9.872997917E-1,1.501856873E1,-3.466790771E0,2.530637512E1,2.963087354E1
9.972847917E-1,1.633313507E1,-3.608545990E0,2.956546829E1,3.396924816E1
1.007270792E0,1.555595123E1,-4.270619202E0,3.133448959E1,3.524309926E1
1.017255792E0,1.513697250E1,-4.872218170E0,3.104334503E1,3.487915878E1
1.027241792E0,1.441816727E1,-4.905000000E0,2.876328644E1,3.254641638E1
