"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.886079164E-2,1.405577087E-1,2.181862793E0,9.732910309E0,9.975461132E0
2.884579165E-2,4.567002869E-1,2.501597900E0,1.167542084E1,1.194914302E1
3.883179167E-2,4.363426208E-1,2.193538513E0,1.234587662E1,1.254681934E1
4.881679168E-2,-1.824705505E-1,1.556762695E0,1.215382599E1,1.225448048E1
5.880179163E-2,-4.405339050E-1,1.353036346E0,1.159324173E1,1.168024106E1
6.878779165E-2,-3.903881836E-1,1.507814484E0,1.068373306E1,1.079666891E1
7.877279166E-2,-2.724334717E-1,1.554816742E0,9.864486694E0,9.989983626E0
8.875779167E-2,-1.441502380E-1,1.564247131E0,9.241482239E0,9.374040876E0
9.874379163E-2,-4.236190796E-2,1.616937561E0,8.778944092E0,8.926709415E0
1.087287916E-1,5.239105225E-3,1.596879272E0,8.654253387E0,8.800349570E0
1.187137917E-1,3.173400879E-2,1.481169891E0,9.009764099E0,9.130756837E0
1.286997917E-1,7.200027466E-2,1.458267517E0,9.724527740E0,9.833522663E0
1.386847916E-1,-1.077758789E-2,1.329684906E0,1.017898270E1,1.026546964E1
1.486697916E-1,-2.001338196E-1,1.050814819E0,1.025682083E1,1.031245067E1
1.586557917E-1,-3.427871704E-1,7.866142273E-1,1.001537292E1,1.005206247E1
1.686407917E-1,-3.914360046E-1,5.998027039E-1,9.658515015E0,9.685034730E0
1.786257916E-1,-4.207749939E-1,5.272036743E-1,9.521849213E0,9.545711484E0
1.886117916E-1,-2.826123047E-1,5.662724304E-1,9.864786072E0,9.885066435E0
1.985967917E-1,-2.544708252E-2,6.222560120E-1,1.050919601E1,1.052763273E1
2.085827917E-1,2.857557678E-1,5.986051941E-1,1.086844894E1,1.088867150E1
2.185677916E-1,2.649490356E-1,5.258564758E-1,1.084360062E1,1.085957630E1
2.285527916E-1,-2.380050659E-2,3.541635132E-1,1.030636780E1,1.031247863E1
2.385387917E-1,-4.328997803E-1,2.134561157E-1,9.557325439E0,9.569505488E0
2.485237917E-1,-6.367758179E-1,2.236349487E-1,8.919052734E0,8.944551286E0
2.585087916E-1,-7.511380005E-1,3.107537842E-1,8.638386383E0,8.676548595E0
2.684947916E-1,-7.575746155E-1,3.965254211E-1,8.519383850E0,8.562187390E0
2.784797917E-1,-7.559280396E-1,5.219645691E-1,8.615633698E0,8.664468721E0
2.884647917E-1,-6.024971008E-1,4.466711426E-1,9.031169586E0,9.062259208E0
2.984507916E-1,-9.460327148E-2,1.709445190E-1,9.215436401E0,9.217507248E0
3.084357916E-1,2.565664673E-1,-1.505868530E-1,9.069190521E0,9.074068518E0
3.184207916E-1,2.652484131E-1,-4.055067444E-1,8.932375031E0,8.945508154E0
3.284067917E-1,-2.896476746E-1,-4.912783813E-1,8.962761841E0,8.980888043E0
3.383917916E-1,-1.320553894E0,-3.811074829E-1,8.570128326E0,8.679643140E0
3.483767916E-1,-1.827250214E0,-2.562670898E-1,7.960296478E0,8.171342374E0
3.583627917E-1,-1.375639343E-1,-1.019829254E0,8.832682343E0,8.892426716E0
3.683477917E-1,1.927990723E0,-3.000211029E0,1.040366547E1,1.099793933E1
3.783327917E-1,1.985471191E0,-4.731810150E0,1.164009430E1,1.272100304E1
3.883187916E-1,2.165995789E-1,-5.436544647E0,1.193019104E1,1.311229924E1
3.983037916E-1,-2.770738220E-1,-5.476810913E0,1.101978424E1,1.230885342E1
4.082887917E-1,1.525178375E0,-4.365072784E0,1.025622208E1,1.125033870E1
4.182747917E-1,3.374283142E0,-2.933000793E0,9.449699249E0,1.045395123E1
4.282597916E-1,4.445156250E0,-1.982627106E0,8.541088715E0,9.830585982E0
4.382447916E-1,5.397176514E0,-1.368753662E0,8.027357025E0,9.769414605E0
4.482307917E-1,5.510490875E0,-8.863069153E-1,7.647447052E0,9.467549633E0
4.582157917E-1,5.013823700E0,-5.707630920E-1,7.085066528E0,8.698411712E0
4.682007916E-1,4.552033997E0,-5.769003296E-1,6.308780823E0,7.800932186E0
4.781867916E-1,4.860093384E0,-1.004261627E0,5.816454620E0,7.645926593E0
4.881717917E-1,4.881947937E0,-1.983375549E0,5.542973328E0,7.647989771E0
4.981567917E-1,4.947212219E0,-2.925516357E0,5.880521393E0,8.222778518E0
5.081427916E-1,5.216502228E0,-2.885848846E0,6.924450531E0,9.137178679E0
5.181277916E-1,4.933141479E0,-1.895358582E0,8.049361267E0,9.629147720E0
5.281127917E-1,5.760620728E0,-1.952090607E0,8.396489410E0,1.036804916E1
5.380987917E-1,5.870043182E0,-1.804946594E0,8.149503021E0,1.020439311E1
5.480837916E-1,5.723348236E0,-1.476379852E0,7.626790009E0,9.649058935E0
5.580687916E-1,5.632786560E0,-1.145118713E0,7.026837616E0,9.078327389E0
5.680547917E-1,6.007008362E0,-9.006770325E-1,6.333329773E0,8.775331024E0
5.780397917E-1,6.659351807E0,-7.776329041E-1,5.873486023E0,8.913445881E0
5.880247916E-1,7.284152527E0,-5.119354248E-1,5.838608551E0,9.349347877E0
5.980107916E-1,7.773185577E0,-1.775308228E-1,6.365512848E0,1.004856632E1
6.079957917E-1,8.623417511E0,4.016148376E-1,7.480095062E0,1.142262869E1
6.179807917E-1,9.520801392E0,1.296154633E0,8.213270416E0,1.264054931E1
6.279667916E-1,9.904902649E0,1.993704071E0,8.261021118E0,1.305091653E1
6.379517916E-1,9.694440308E0,2.014959869E0,8.070467377E0,1.277398449E1
6.479367916E-1,9.029972076E0,1.328786774E0,7.762557678E0,1.198179334E1
6.579227917E-1,9.013805695E0,8.532257080E-1,7.381599884E0,1.168181082E1
6.679077917E-1,9.468110962E0,1.329235840E0,7.042704620E0,1.187483396E1
6.778927916E-1,9.347761230E0,2.240391083E0,6.573280792E0,1.164508534E1
6.878787917E-1,9.476044464E0,2.716999969E0,6.074368286E0,1.157909572E1
6.978637917E-1,9.805659027E0,2.799328766E0,5.169649658E0,1.143295535E1
7.078487917E-1,9.747280426E0,2.881507874E0,4.314777374E0,1.104218579E1
7.178347916E-1,9.555229797E0,2.782563629E0,3.860023041E0,1.067449552E1
7.278197916E-1,9.276509399E0,2.570155334E0,3.594624939E0,1.027524469E1
7.378047917E-1,8.829239502E0,2.505040741E0,3.155438232E0,9.705023943E0
7.477907917E-1,8.452023926E0,2.573897552E0,2.829416199E0,9.277243830E0
7.577757916E-1,8.490493927E0,2.734812927E0,2.612217865E0,9.294695855E0
7.677607916E-1,8.697064362E0,2.956501923E0,2.389780426E0,9.491621706E0
7.777467917E-1,9.718839569E0,2.780018921E0,2.675985260E0,1.045682767E1
7.877316666E-1,1.080468155E1,2.543061676E0,3.669319611E0,1.169068914E1
7.977166667E-1,1.104178848E1,2.283351746E0,4.264481964E0,1.205489919E1
8.077026667E-1,1.101604202E1,1.977388000E0,3.868106232E0,1.184168447E1
8.176876666E-1,1.077863571E1,1.660197601E0,3.419339447E0,1.142922246E1
8.276726666E-1,1.035816010E1,1.346899109E0,2.901266785E0,1.084080102E1
8.376586667E-1,9.574539642E0,8.364605713E-1,2.016456757E0,9.820263413E0
8.476436667E-1,9.290131073E0,4.631369019E-1,1.457668762E0,9.415191414E0
8.576286666E-1,8.924441528E0,1.314266968E-1,9.815089417E-1,8.979214296E0
8.676146666E-1,8.658893738E0,-9.131011963E-3,6.270460510E-1,8.681573065E0
8.775996667E-1,8.808133392E0,-8.337661743E-2,8.487350464E-1,8.849322951E0
8.875846667E-1,9.098529510E0,-2.300715637E-1,1.197958832E0,9.179938864E0
8.975706666E-1,1.065993256E1,-1.477727051E0,-7.738906860E-2,1.076214795E1
9.075556666E-1,1.133802246E1,-9.324110413E-1,-8.057743835E-1,1.140479794E1
9.175406666E-1,1.092413315E1,6.361770630E-2,-1.395098877E-1,1.092520916E1
9.275266667E-1,1.039288788E1,-7.460485840E-1,-1.123413849E0,1.048001744E1
9.375116667E-1,8.566086731E0,-1.575024719E0,-2.272424469E0,9.001247564E0
9.474966666E-1,7.628436584E0,-2.448757782E0,-6.101312256E-1,8.035030772E0
9.574826667E-1,6.198310547E0,-3.505410461E0,1.434317322E0,7.263898562E0
9.674676667E-1,4.848417664E0,-4.928052063E0,2.619552612E0,7.392895702E0
9.774526667E-1,3.584895172E0,-5.993087311E0,2.526595917E0,7.426456479E0
9.874386666E-1,2.903362427E0,-6.116430817E0,1.161734161E0,6.869488014E0
9.974236666E-1,2.303410034E0,-6.026168518E0,-3.013233948E-1,6.458420905E0
1.007408667E0,5.513035583E-1,-5.619913330E0,-1.266665955E0,5.787210389E0
1.017394667E0,-2.780168610E0,-2.729723511E0,3.004851379E0,4.920351589E0
1.027379667E0,3.651207275E0,-2.760409698E0,4.123325500E0,6.160599764E0
1.037364667E0,1.144939087E1,-3.047213287E0,2.592608643E0,1.212830077E1
1.047350667E0,1.854209152E1,-2.646047516E0,1.688039703E0,1.880585556E1
1.057335667E0,2.203148529E1,-1.330283661E0,6.586303711E-1,2.208143548E1
1.067320667E0,1.999946091E1,2.715353394E0,6.902146912E-1,2.019475122E1
1.077306667E0,1.877006744E1,3.745960236E0,8.951385498E-2,1.914041961E1
1.087291667E0,1.717827759E1,2.044598236E0,1.113684082E0,1.733533660E1
1.097276667E0,1.380459320E1,4.580474854E-1,1.764979706E0,1.392450194E1
1.107262667E0,1.152034332E1,-5.520520020E-1,1.830842743E0,1.167797315E1
1.117247667E0,9.689500580E0,-1.720821533E0,1.647623749E0,9.978091614E0
1.127232667E0,8.804391174E0,-1.892514496E0,2.636617126E0,9.383531581E0
1.137218667E0,8.440647583E0,-8.830137634E-1,3.303181000E0,9.106879248E0
1.147203667E0,9.785750427E0,-7.664062500E-1,3.942800903E0,1.057799456E1
1.157188667E0,1.225321930E1,-1.270857239E-1,4.639452209E0,1.310274974E1
1.167174667E0,1.412133453E1,5.553451538E-2,4.563709717E0,1.484057342E1
1.177159667E0,1.419662796E1,-1.143621826E-1,3.713028717E0,1.467460072E1
1.187144667E0,1.354817642E1,-3.688330078E-1,2.430944824E0,1.376948129E1
1.197130667E0,1.284718414E1,-2.673440552E-1,1.376238098E0,1.292345328E1
1.207115667E0,1.204260727E1,-8.292755127E-2,-2.613565063E-1,1.204572846E1
1.217100667E0,9.958341522E0,-9.663903809E-1,-8.051756287E-1,1.003746901E1
1.227086667E0,5.807622986E0,-3.292253723E0,2.603535919E0,7.165599668E0
1.237071667E0,3.439697113E0,-5.809568939E0,6.209537201E0,9.172838151E0
1.247056667E0,2.737058258E0,-5.968089294E0,1.709445190E0,6.784672475E0
1.257042667E0,5.433101807E0,-5.511838074E0,-1.126707001E0,7.821024412E0
1.267027667E0,8.207731934E0,-6.208788757E0,1.682351532E0,1.042814595E1
1.277012667E0,5.260510712E0,-9.611363068E0,3.828139343E0,1.160628811E1
1.286998667E0,4.986131287E-1,-1.203257812E1,4.307442627E0,1.279005916E1
1.296983667E0,-8.681945801E-1,-8.932075653E0,5.086422729E0,1.031539788E1
1.306968667E0,1.078507233E0,-6.251899109E0,4.696782990E0,7.893617090E0
1.316954667E0,1.618135071E0,-6.590494995E0,2.590962067E0,7.264025731E0
1.326939667E0,-3.628454590E-1,-5.980513458E0,1.384620667E-1,5.993110194E0
1.336924667E0,1.392703857E0,-5.574707336E0,-1.795067139E0,6.019904647E0
1.346910667E0,6.423143005E0,-7.131619720E0,-4.402644653E0,1.055935821E1
1.356895667E0,9.867181091E0,-9.052126007E0,-7.220684509E0,1.521316971E1
1.366880667E0,9.132957916E0,-9.380992126E0,-7.400161285E0,1.503915957E1
1.376866667E0,8.681197357E0,-8.007897491E0,-5.688171387E0,1.310896272E1
1.386851667E0,9.304650879E0,-7.077133026E0,-4.757855988E0,1.262139190E1
1.396836667E0,8.025710449E0,-6.286776581E0,-3.705993347E0,1.084757921E1
1.406822667E0,1.057311310E1,-5.274431763E0,3.039878540E0,1.220045952E1
1.416807667E0,1.748244507E1,-2.083068237E0,1.256846375E1,2.163195183E1
1.426792667E0,1.899534897E1,-5.483846283E0,-2.311792603E0,1.990578402E1
1.436778667E0,1.862546814E1,-7.974367218E0,-5.418582001E0,2.097283068E1
1.446763667E0,1.748124756E1,-7.000043335E0,-7.543862457E0,2.028557329E1
1.456748667E0,1.437385941E1,-6.045927429E0,-8.425529022E0,1.772429440E1
1.466734667E0,1.165670975E1,-5.642516327E0,-8.674611053E0,1.558735865E1
1.476719667E0,9.737550659E0,-5.596412201E0,-8.725804596E0,1.422249585E1
1.486704667E0,8.804391174E0,-5.213807831E0,-9.387578430E0,1.388624229E1
1.496690667E0,7.752229156E0,-4.576582947E0,-1.067669769E1,1.396545889E1
1.506675667E0,6.496939545E0,-4.043391724E0,-1.228749802E1,1.447556035E1
1.516660667E0,6.935527496E0,-3.415746918E0,-1.389036484E1,1.589688976E1
1.526646667E0,8.123606873E0,-3.852538605E0,-1.335088669E1,1.609600005E1
1.536631667E0,7.988138580E0,-4.428391113E0,-1.061023590E1,1.399993256E1
1.546616667E0,5.109923859E0,-5.488037567E0,-8.426427155E0,1.127982947E1
1.556602667E0,-5.498066711E-1,-7.796087952E0,-6.810986481E0,1.036681299E1
1.566587667E0,-4.033512268E0,-6.003415833E0,-4.098028107E0,8.312885013E0
1.576572667E0,-5.985303497E0,-5.019661560E0,-2.179916840E0,8.110049171E0
1.586558667E0,-8.129444733E0,-7.430697784E0,2.902314606E0,1.138975730E1
1.596543667E0,-9.023834839E0,-1.152707932E1,1.236114487E1,1.915988140E1
1.606528667E0,-3.833079071E0,-1.156375305E1,1.058987823E1,1.614182148E1
1.616514667E0,1.227447510E-2,-7.911348267E0,1.366208954E1,1.578740867E1
1.626499667E0,6.548881531E-1,-1.026744873E1,1.514415756E1,1.830832844E1
1.636484667E0,1.330732727E0,-1.191222839E1,1.469015167E1,1.895976242E1
1.646470667E0,3.506158905E0,-1.185953796E1,1.118294495E1,1.667333346E1
1.656455667E0,3.382066956E0,-8.579409027E0,7.070247345E0,1.162037149E1
1.666440667E0,2.999013519E0,-5.486840057E0,1.942660217E0,6.547780129E0
1.676426667E0,2.642305298E0,-3.587589569E0,1.177451477E0,4.608575505E0
1.686411667E0,3.147355042E0,-3.111579437E0,1.621128845E-1,4.428775332E0
1.696396667E0,5.749394073E0,-6.331683197E0,-1.171613617E0,8.632405388E0
1.706382667E0,1.065768723E1,-1.448956879E1,-2.536325684E0,1.816498964E1
1.716367667E0,1.573078766E1,-2.542193481E1,-8.007897491E0,3.094929518E1
1.726352667E0,1.711241455E1,-3.477343826E1,-1.812835190E1,4.278625811E1
1.736338667E0,1.542138107E1,-3.547173615E1,-1.956521393E1,4.334582627E1
1.746323667E0,1.132604736E1,-2.535951462E1,-9.904603271E0,2.948703947E1
1.756308667E0,8.136779480E0,-1.611937958E1,-3.607947235E0,1.841355103E1
1.766294667E0,6.428232422E0,-1.032567764E1,-5.379812622E-1,1.217502422E1
1.776279667E0,4.568050690E0,-7.017856293E0,6.891668701E-1,8.401925078E0
1.786264792E0,2.975662079E0,-5.331912231E0,8.671467590E-1,6.167316787E0
1.796250792E0,1.842219086E0,-4.576882324E0,8.767268372E-1,5.011015158E0
1.806235792E0,1.083746338E0,-4.689148865E0,1.140777740E0,4.946109284E0
1.816220792E0,5.224136353E-2,-5.533992004E0,1.492845612E0,5.732048908E0
1.826206792E0,-1.903741150E0,-7.200326843E0,1.791923676E0,7.660282467E0
1.836191792E0,-4.538861389E0,-9.591903534E0,2.317181396E0,1.086163918E1
1.846176792E0,-7.357799377E0,-1.217463272E1,2.848127289E0,1.450760913E1
1.856162792E0,-9.197324066E0,-1.412432831E1,3.401676178E0,1.719473236E1
1.866147792E0,-9.341025238E0,-1.514071472E1,3.859274597E0,1.820412028E1
1.876132792E0,-7.983797607E0,-1.505494308E1,4.180955658E0,1.754630234E1
1.886118792E0,-5.648653564E0,-1.418270691E1,3.902085571E0,1.575699001E1
1.896103792E0,-3.309318237E0,-1.285392014E1,3.122506714E0,1.363542805E1
1.906088792E0,-2.128274231E0,-1.172526718E1,2.282303925E0,1.213343945E1
1.916074792E0,-1.944456482E0,-1.083132614E1,1.603315887E0,1.112066360E1
1.926059792E0,-2.211800537E0,-1.003887405E1,1.259929962E0,1.035656687E1
1.936044792E0,-2.456092529E0,-9.219927063E0,1.175804901E0,9.613634210E0
1.946030792E0,-2.613265686E0,-8.729097748E0,1.153950348E0,9.184656033E0
1.956015792E0,-2.730322266E0,-8.667425995E0,9.589059448E-1,9.137747735E0
1.966000792E0,-2.252665558E0,-8.537795563E0,8.050259399E-1,8.866595849E0
1.975986792E0,-1.584754486E0,-8.371940460E0,5.550457764E-1,8.538671423E0
1.985971792E0,-8.919950867E-1,-8.284971313E0,2.082170105E-1,8.335451951E0
1.995956792E0,-1.652563477E-1,-8.250243530E0,-4.857398987E-1,8.266182385E0
2.005942792E0,1.353335724E0,-8.482111359E0,-6.479575653E0,1.075930441E1
2.015927792E0,5.155129852E0,-9.586963806E0,-1.665466644E1,1.989631004E1
2.025912792E0,4.936584320E0,-9.329648895E0,-9.750124512E0,1.436931248E1
2.035898792E0,3.268004150E0,-8.550818481E0,-5.663472748E0,1.076435188E1
2.045883792E0,2.109712830E0,-7.733817444E0,-2.875969391E0,8.516690696E0
2.055868792E0,1.371148682E0,-6.951095123E0,-9.358538818E-1,7.146579224E0
2.065854792E0,6.891668701E-1,-6.192023621E0,2.948867798E-1,6.237232215E0
2.075839792E0,-2.814147949E-2,-5.582491150E0,1.044976959E0,5.679522535E0
2.085824792E0,-4.905299377E-1,-5.390141144E0,1.503772888E0,5.617434830E0
2.095810792E0,-4.412823486E-1,-5.385650482E0,1.810934143E0,5.699073933E0
2.105795792E0,-1.350192261E-1,-5.364993439E0,1.707050171E0,5.631643195E0
2.115780792E0,3.200344849E-1,-5.091811523E0,1.474134521E0,5.310559222E0
2.125766792E0,3.427871704E-1,-4.950954437E0,1.206042023E0,5.107248794E0
2.135751792E0,1.317260742E-1,-4.707710266E0,8.689430237E-1,4.789044757E0
2.145736792E0,-8.232879639E-3,-4.449646912E0,5.565426636E-1,4.484324381E0
2.155722792E0,1.800755310E-1,-4.355642395E0,-4.869374084E-1,4.386474200E0
2.165707792E0,8.803193665E-1,-4.527335358E0,-3.728596344E0,5.930780583E0
